concat,weighted_sum,V
2 11 14,57,282.3978662490846
2 11 15,58,285.1810455322267
2 11 16,59,287.9661321640016
2 12 0,44,248.69786202907568
2 12 1,45,251.0987520217896
2 12 2,46,253.5648644
2 12 3,47,256.0498714447022
2 12 4,48,258.5433423519135
2 12 5,49,261.0979378
2 12 6,50,263.6718153953553
2 12 7,51,266.275316476822
2 12 8,52,268.86522769927984
2 12 9,53,271.5448439121247
2 12 10,54,274.2329239845277
2 12 11,55,276.91927552223217
2 12 12,56,279.6567678451539
2 12 13,57,282.4167609214784
2 12 14,58,285.1947247982026
2 12 15,59,287.9889607429505
2 12 16,60,290.81109166145336
2 13 0,45,251.09472870826727
2 13 1,46,253.53708863258368
2 13 2,47,256.03550672531134
2 13 3,48,258.5547864437104
2 13 4,49,261.09191775321966
2 13 5,50,263.66800069808966
2 13 6,51,266.2709653377533
2 13 7,52,268.8985764980317
2 13 8,53,271.5543508529664
2 13 9,54,274.24103021621715
2 13 10,55,276.9439518451692
2 13 11,56,279.6762287616731
2 13 12,57,282.4361026
2 13 13,58,285.2328419685365
2 13 14,59,288.01968693733227
2 13 15,60,290.83606600761425
2 13 16,61,293.69017481803905
2 14 0,46,253.5307109355927
2 14 1,47,256.02677464485174
2 14 2,48,258.55877995491034
2 14 3,49,261.1148059368134
2 14 4,50,263.66412639617926
2 14 5,51,266.29886031150824
2 14 6,52,268.91359686851507
2 14 7,53,271.56507968902594
2 14 8,54,274.25506711006176
2 14 9,55,276.97119116783153
2 14 10,56,279.6955108642579
2 14 11,57,282.4608385562898
2 14 12,58,285.26082634925854
2 14 13,59,288.04349899292004
2 14 14,60,290.86604714393627
2 14 15,61,293.71371865272533
2 14 16,62,296.5938448905946
2 15 0,47,256.0136318206788
2 15 1,48,258.5481405258179
2 15 2,49,261.10336184501654
2 15 3,50,263.68695497512823
2 15 4,51,266.30389690399176
2 15 5,52,268.92668008804327
2 15 6,53,271.58927917480474
2 15 7,54,274.2741405963899
2 15 8,55,276.97870135307323
2 15 9,56,279.7204554080964
2 15 10,57,282.48250484466564
2 15 11,58,285.2769494056703
2 15 12,59,288.07878494262707
2 15 13,60,290.89659452438366
2 15 14,61,293.75317692756664
2 15 15,62,296.6292500495912
2 15 16,63,299.5192408561708
2 16 0,48,258.5233747959137
2 16 1,49,261.13623380661016
2 16 2,50,263.6654078960419
2 16 3,51,266.30443334579473
2 16 4,52,268.93395185470587
2 16 5,53,271.59923315048223
2 16 6,54,274.2982804775239
2 16 7,55,277.00090408325207
2 16 8,56,279.7481716
2 16 9,57,282.5094759464265
2 16 10,58,285.3088974952699
2 16 11,59,288.1071567535401
2 16 12,60,290.93679785728466
2 16 13,61,293.78658533096325
2 16 14,62,296.6629266738893
2 16 15,63,299.55169558525097
2 16 16,64,302.4798631668092
3 0 0,48,246.20559811592105
3 0 1,49,248.67369234561923
3 0 2,50,251.0877847671509
3 0 3,51,253.5537779331208
3 0 4,52,256.0237944
3 0 5,53,258.53526592254644
3 0 6,54,261.1005008220673
